c0_g1_i1	580	53	0
c1_g1_i1	444	13	0
c2_g1_i1	382	6	0
c3_g1_i1	1275	25	0
c6_g1_i1	2107	29	0
c8_g1_i1	435	2	0
c9_g1_i1	385	2	0
c11_g1_i1	202	5	0
c12_g1_i1	672	15	0
c15_g1_i1	280	0	0
c16_g1_i1	415	0	0
c16_g1_i2	321	0	0
c18_g1_i1	1555	32	0
c19_g1_i1	336	0	0
c19_g1_i2	424	0	0
c22_g1_i1	229	2	0
c22_g2_i1	496	5	0
c25_g1_i1	960	16	0
c26_g1_i1	337	0	0
c28_g1_i1	213	0	0
c33_g1_i1	227	17	0
c37_g1_i1	321	5	0
c40_g1_i1	500	6	0
c41_g1_i1	690	6	0
c44_g1_i1	439	16	0
c46_g1_i1	312	0	0
c47_g1_i1	480	8	0
c56_g1_i1	328	10	0
c61_g1_i1	941	10	0
c65_g1_i1	408	0	0
c66_g1_i1	268	10	0
c67_g1_i1	243	0	0
c67_g2_i1	216	0	0
c72_g1_i1	358	1	0
c74_g1_i1	212	4	0
c80_g1_i1	773	0	0
c81_g1_i1	201	2	0
c83_g1_i1	228	629	0
c83_g2_i1	334	1934	0
c85_g1_i1	362	14	0
c88_g1_i1	260	6	0
c90_g1_i1	236	4	0
c96_g1_i1	324	4	0
c97_g1_i1	509	18	0
c98_g1_i1	729	5	0
c102_g1_i1	260	3	0
c110_g1_i1	371	3	0
c111_g1_i1	619	6	0
c113_g1_i1	443	13	0
c116_g1_i1	639	5	0
c116_g1_i2	608	1	0
c118_g1_i1	490	7	0
c122_g1_i1	447	2	0
c125_g1_i1	207	0	0
c127_g1_i1	243	2	0
c132_g1_i1	467	6	0
c133_g1_i1	205	3	0
c134_g1_i1	463	4	0
c136_g1_i1	498	15	0
c139_g1_i1	282	3	0
c140_g1_i1	530	9	0
c144_g1_i1	210	0	0
c144_g1_i2	252	0	0
c145_g1_i1	872	4	0
c146_g1_i1	637	1	0
c147_g1_i1	247	20	0
c148_g1_i1	563	0	0
c150_g1_i1	1371	40	0
c151_g1_i1	432	2	0
c152_g1_i1	333	1	0
c153_g1_i1	380	9	0
c154_g1_i1	463	8	0
c155_g1_i1	417	44	0
c156_g1_i1	294	407	0
c157_g1_i1	407	0	0
c158_g1_i1	309	4	0
c159_g1_i1	234	2	0
c160_g1_i1	398	0	0
c161_g1_i1	570	8	0
c162_g1_i1	221	5	0
c163_g1_i1	796	7	0
c164_g1_i1	372	0	0
c165_g1_i1	224	4	0
c166_g1_i1	380	4	0
c167_g1_i1	236	0	0
c168_g1_i1	359	1	0
c171_g1_i1	273	4	0
c172_g1_i1	1245	24	0
c174_g1_i1	277	0	0
c176_g1_i1	333	3	0
c179_g1_i1	372	0	0
c180_g1_i1	263	4	0
c181_g1_i1	318	97	0
c182_g1_i1	265	9	0
c185_g1_i1	754	21	0
c186_g1_i1	437	0	0
c189_g1_i1	252	6	0
c189_g2_i1	263	0	0
c195_g1_i1	222	0	0
c197_g1_i1	265	2	0
c200_g1_i1	432	0	0
c207_g1_i1	258	4	0
c208_g1_i1	215	13	0
c220_g1_i1	400	16	0
c223_g1_i1	231	7	0
c242_g1_i1	352	2	0
c242_g2_i1	254	1	0
c247_g1_i1	211	1	0
c264_g1_i1	588	0	0
c276_g1_i1	295	2	0
c277_g1_i1	278	2	0
c284_g1_i1	426	20	0
c296_g1_i1	862	9	0
c302_g1_i1	235	4	0
c304_g1_i1	333	0	0
c307_g1_i1	220	9	0
c310_g1_i1	505	0	0
c310_g2_i1	207	0	0
c311_g1_i1	768	17	0
c319_g1_i1	204	9	0
c320_g1_i1	242	0	0
c325_g1_i1	227	12	0
c334_g1_i1	364	0	0
c334_g1_i2	535	6	0
c335_g1_i1	295	0	0
c337_g1_i1	258	5	0
c345_g1_i1	210	2	0
c348_g1_i1	346	0	0
c350_g1_i1	206	2	0
c356_g1_i1	630	14	0
c356_g1_i2	222	0	0
c360_g1_i1	507	9	0
c381_g1_i1	431	9	0
